"rodada","amostra","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","metodo_pareamento","nome","correto","motivo_erro","trecho"
"regra_apertada_v1","20_alta_20_media","11","M2012_66192_13_43444_250000047271","2016-04-27","alta","licenca","nome_completo_no_trecho","DIRLEI GONÇALVES",1,"","- RAFAEL TURRINI PURGATO - APOIO à AFUSE pela luta por melhorias salariais e condições de trabalho dos funcionários e servidores da Educação do Estado de São Paulo. 2.b) Requerimentos - ao Plenário: Nº. 431/2016 - DIRLEI GONÇALVES - <<LICENÇA do vereador>> Dirlei Gonçalves por 30 dias, de 02/05/2016"
"regra_apertada_v1","20_alta_20_media","12","M2020_67954_13_55655_250000751996","2023-12-01","alta","renuncia","nome_completo_no_trecho","LUIZ DONIZETTI BENGOZI",0,"renuncia_a_comissao","Câmara Municipal de Ourinhos, Estado de São Paulo, usando das atribuições que lhe confere o artigo 19, inciso I, alínea “d”, do Regimento Interno; Considerando o Ofício nº 09/2023/CAR – Ato nº 27/2023, da Presidência da CAR, referente à <<renúncia do Vereador>> Luiz Donizetti Bengozi da referida com"
"regra_apertada_v1","20_alta_20_media","13","M2016_71714_13_15111_250000023814","2019-09-04","alta","licenca","nome_completo_no_trecho","JULIO COLOMBO",1,"","Presi- dente da Câmara Municipal de Tapiraí, Estado de São Paulo, no uso de suas atribuições legais: FAZ SABER que a Câmara Municipal de Tapiraí aprovou e ele sanciona e promulga e sanciona a seguinte resolução: ARTIGO 1º - Fica concedida a <<licença do Vereador>> Julio Colombo do exercício do manda"
"regra_apertada_v1","20_alta_20_media","14","M2008_17612_13_43333_3994","2011-02-11","alta","renuncia","nome_completo_no_trecho","PAULO WAGNER LEITE DANTAS",1,"","Presidente ATO DA PRESIDÊNCIA Nº 002/2011 O PRESIDENTE DA CÂMARA MUNICIPAL DO NATAL, atendendo ao que determinam os Ar ts. 19, V e VI, 85 e 94 do Regimento Interno desta Casa Legislativa (Resolução 337/05), RESOLVE: Ar t. 1º - Em vir tude da <<renúncia do Vereador>> Paulo Wagner Leite Dantas solicit"
"regra_apertada_v1","20_alta_20_media","15","M2020_90514_13_51051_120001188641","2022-12-07","alta","licenca","nome_completo_no_trecho","SANDRO TRINDADE BENITES",1,""," VICTOR ROCHA Vice-Presidente DR. JAMAL TABOSA Membro Membro DR. LOESTER Membro ATOS DE PESSOAL CONVOCAÇÃO Em decorrência do pedido de <<licença do Vereador>> Sandro Trindade Benites, protocolizado nesta Casa sob. nº 28582/2022 e com base no art. 99 do Regimento Interno deste Poder Legislativo, conv"
"regra_apertada_v1","20_alta_20_media","16","M2020_70718_13_40660_250000929669","2023-11-30","alta","licenca","nome_completo_no_trecho","BENEDITO FURTADO DE ANDRADE",1,"","702/2023. JEAN RODRIGUES TEIXEIRA SECRETÁRIO LEGISLATIVO A Câmara Municipal de Santos aprovou, na 68ª Sessão Ordinária realizada, em 14 de novembro de 2023, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 26 _28 DE NOVEMBRO DE 2023 <<LICENÇA DO VEREADOR>> BENEDITO FURTADO DE ANDRADE, E DÁ OUTRAS"
"regra_apertada_v1","20_alta_20_media","17","M2016_88013_11_45_210000029381","2017-06-05","alta","afastamento","nome_completo_no_trecho","NELSON MARCHEZAN JUNIOR",1,""," Órgão de divulgação do Município - Ano XXII - Edição 5518 - Segunda-feira, 5 de junho de 2017 Divulgação: Segunda-feira, 5 de junho de 2017 Publicação: Terça-feira, 6 de junho de 2017 FORMALIZA o <<afastamento do Prefeito>> NELSON MARCHEZAN JÚNIOR, por período de 05 (cinco) dias a contar desta data"
"regra_apertada_v1","20_alta_20_media","18","M2008_90670_13_15007_1928","2009-11-19","alta","cassacao","nome_completo_no_trecho","LUTERO PONCE DE ARRUDA",1,"","liveira - Ass. Parlam entar de G abinete - A PG -02-CTG P-CM -06 REGISTRADO, PUBLICAD O , CUM PRA-SE G A BIN ETE D A PRESID ÊN CIA DA CÂ M A RA M U N IC IPA L D E CUIABÁ DECRETO LEGISLATIVO N* 002 DECRETA A PERDA DE MANDATO EM FACE DF. <<CASSAÇÃO>> DO VEREADOR LUTERO PONCE DE ARRUDA. A Câmara M unic"
"regra_apertada_v1","20_alta_20_media","19","M2020_96199_11_77_270001144665","2024-01-03","alta","afastamento","nome_completo_no_trecho","MANOEL SILVINO GOMES NETO",1,"","Exonera servidores ocupantes de cargos em comissão O Prefeito Municipal de Tocantínia, Estado do Tocantins, no uso de suas atribuições legais e constitucionais, sobretudo a Lei Orgânica do Município de Tocantínia – TO; Considerando o <<afastamento do Prefeito>> Manoel Silvino Gomes Neto para tratame"
"regra_apertada_v1","20_alta_20_media","20","M2016_65552_13_25500_250000076856","2020-07-29","alta","cassacao","nome_completo_no_trecho","ALEX DE CASSIO AVANSI",0,"cassacao_anulada_vereador_retoma","0274 - Mandato de Segurança – 1ª Vara Judicial desta Comarca, ficam anuladas as Sessões de Julgamentos das Comissões Processantes nº 03/2019 e 04/2019, bem como os Decretos Legislativos 212 e 213, de 14 de fevereiro de 2020, que dispunham sobre <<cassação>> do Mandato do Vereador Alex de Cássio Avan"
"regra_apertada_v1","20_alta_20_media","21","M2008_72370_11_14_28717","2012-01-26","media","falecimento","tokens_primeiro_e_ultimo_nome_unico","MILTON ALVARO SERAFIM",0,"falecimento_de_terceiro_nome_e_assinatura","MILTON SERAFIM, Prefeito Municipal de Vinhedo, Estado de São Paulo, usando de suas atribuições legais, e, D e c r e t a: Art. 1.º Fica declarado Luto Oficial por 03 (três) dias, nas repartições públicas municipais, em sinal de pesar pelo <<falecimento do Prefeito>> Municipal de Louveira, DR. ELEUTÉR"
"regra_apertada_v1","20_alta_20_media","22","M2020_71358_13_45000_250001212431","2024-11-06","media","suplente_efetivado","nome_completo_no_trecho","ACACIO AUGUSTO TOBIAS VIEIRA",0,"posse_de_suplente_nome_e_terceiro_ou_o_proprio_suplente","exercício): Rogério Silva dos Santos ............................................O Senhor Presidente solicita aos Senhores Vereadores Acácio Augusto Tobias Vieira e Firmo Leão Ulian que acompanhem a Senhora Juçara Cerqueira Santos de Oliveira, <<suplente de Vereador>> pelo PRD, à dirigir-se à Mesa D"
"regra_apertada_v1","20_alta_20_media","23","M2016_65552_13_22312_250000053603","2020-03-06","media","renuncia","nome_completo_no_trecho","MIRIANA APARECIDA AMATTO",0,"autora_de_projeto_sobre_renuncia","Nº 02/2020 De autoria dos Vereadores Miriana Aparecida Amatto, Edmércia Micheletti Diniz, Guilherme Hernandes, Ricardo Ordine Gentil Negrão e Professor Antônio Cruz Dispõe sobre alteração de dispositivos no Regimento Interno a fim de determinar <<renúncia>> de vereador que optar por exercer cargo no"
"regra_apertada_v1","20_alta_20_media","24","M2020_89575_11_40_210000686551","2022-07-05","media","renuncia","nome_completo_no_trecho","GILSON ADRIANO BECKER",0,"assinatura_renuncia_de_candidato_ao_contrato"," setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 05 de julho de 2022. GILSON ADRIA"
"regra_apertada_v1","20_alta_20_media","25","M2020_65552_13_10777_250000891356","2021-01-05","media","afastamento","nome_completo_no_trecho","JULIANE DOS SANTOS GRECCO",0,"nome_em_lista_de_presenca_posse_do_vice","Vereador JULIANE DOS SANTOS GRECCO Vereadora MARCELO PORTO FRANCISCHETTI Vereador MÁRIO SOARES DE ALMEIDA FILHO Vereador VANDAIR JOSÉ CONTRERA Vereador FLÁVIO BENEDITO DE MORAIS BOZELLI Diretor Geral da Câmara Municipal Termo de <<Posse do Vice-Prefeito>> Municipal de Itápolis, realizada em 1º de Ja"
"regra_apertada_v1","20_alta_20_media","26","M2012_58017_11_13_190000011533","2013-01-04","media","afastamento","nome_completo_no_trecho","MARIA DA CONCEIÇÃO CALDAS RABHA",0,"posse_rotulada_como_afastamento","nossA PÁgInA no FACEbooK FACEbooK.CoM/PrEFEIturAdEAngrA EndErEço: PALÁCIo rAuL PoMPéIA - PrAçA nILo PEçAnHA, 186 – CEntro-CEP.: 23.900-000 - AngrA dos rEIs - rJ Conceição Rabha <<assume a Prefeitura>> P rimeira mulher eleita para governar a cidade, a professora e servidora pública estadual Maria da "
"regra_apertada_v1","20_alta_20_media","27","M2024_12190_13_44123_180001976625","2025-01-30","media","suplente_efetivado","nome_de_urna_unico_no_trecho","VICTOR SAMUEL ALVES ALENCAR",0,"posse_de_suplente_nome_e_terceiro_ou_o_proprio_suplente","000010393900332025 TERMO DE POSSE DO <<SUPLENTE DE VEREADOR>> PEDRO AL- CÂNTARA CARVALHO DO NASCIMENTO (PP). Aos sete dias do mês de janeiro do ano de dois mil e vinte e cinco, às nove horas e trinta minutos, no Plenário Vereador José Ommati, Sede da Câmara Municipal de Teresina, o Presidente Enzo S"
"regra_apertada_v1","20_alta_20_media","28","M2020_62294_11_17_250001175656","2024-04-23","media","cassacao","nome_completo_no_trecho","LEANDRO MAFFEIS MILANI",1,"","LEGISLATIVO Nº 388, DE 22 DE ABRIL DE 2.024. FICA DECRETADA A <<CASSAÇÃO>> D O M A N D A T O D O P R E F E I T O M U N I C I P A L D E B I R I G U I , S R . LEANDRO MAFFEIS MILANI. Projeto de Decreto Legislativo nº 11/2024, de autoria da Mesa Diretora. O Presidente da Câmara Municipal de Birigui: FA"
"regra_apertada_v1","20_alta_20_media","29","M2016_61239_13_15678_250000060293","2019-06-14","media","suplente_efetivado","nome_completo_no_trecho","JAIR ARCANJO DA SILVA",0,"suplente_convocado_para_denuncia_contra_o_vereador","de Denúncia em desfavor do vereador JAIR ARCANJO DA SILVA, e posterior deliberação do plenária acerca do recebimento ou não de referida denúncia. Solicito ainda ao convocado, estar portando documentos pessoais, bem como seu diploma de <<suplente de vereador>>. Apresento os votos de estima e apreço. "
"regra_apertada_v1","20_alta_20_media","30","M2020_89575_11_40_210000686551","2021-05-11","media","renuncia","nome_completo_no_trecho","GILSON ADRIANO BECKER",0,"assinatura_renuncia_de_candidato_ao_contrato","apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 11 de Maio de 2021. "
"regra_apertada_v1","20_alta_20_media","31","M2024_70750_13_28123_250002025930","2025-01-10","media","suplente_efetivado","nome_completo_no_trecho","IVAN FELICIANO SILVA",0,"investidura_em_secretaria_rotulada_suplente_efetivado","das atribuições que lhe são conferidas por lei; R E S O L V E: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XIV, do artigo 30, do Regimento Interno, o <<suplente de Vereador>> pelo Partido Renovador Trabalhista Bras"
"regra_apertada_v1","20_alta_20_media","32","M2024_72052_13_11211_250002269056","2025-08-12","media","cassacao","nome_completo_no_trecho","PEDRO AUGUSTO GRIGOLETO CARVALHO",0,"cassacao_de_terceira_nome_e_presidente","355-Centro - Fones (18) 3696-1400/ 3696-1207 - CEP 15280-003 - TURIÚBA - SP e-maus: Iegistba@terra.com.br camaraturiuba@camaraturiuba.sp.gov.br site: www.camaraturiuba.sp.gov.br DECRETO LEGISLATIVO N° 65, DE 11 DE AGOSTO DE 2025. Dispõe sobre a <<Cassação>> do Mandato da Vereadora Raquel Isabela San"
"regra_apertada_v1","20_alta_20_media","33","M2020_89575_11_40_210000686551","2021-01-06","media","renuncia","nome_completo_no_trecho","GILSON ADRIANO BECKER",0,"assinatura_renuncia_de_candidato_ao_contrato","convocado deve se apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 06"
"regra_apertada_v1","20_alta_20_media","34","M2024_61999_11_55_250002380159","2026-07-29","media","renuncia","nome_completo_no_trecho","RODRIGO PRIMO ANTUNES",0,"assinatura_renuncia_de_candidato_ao_contrato","convocados comparecerem no prazo de 3 (três) dias úteis no Departamento Pessoal munidos de todos os documentos necessários para a contratação. Ressalte-se, que passado o prazo acima, ficará configurada a <<renúncia>> automática e poderá a Prefeitura convocar o próximo classificado. Barbosa, 29 de Ju"
"regra_apertada_v1","20_alta_20_media","35","M2020_58530_13_12345_190000648128","2025-02-19","media","suplente_efetivado","nome_completo_no_trecho","JULIO CESAR SILVA SANTOS",0,"posse_de_suplente_nome_e_terceiro_ou_o_proprio_suplente","e o empossado. Maricá, 02 de janeiro 2025. Vereador ALDAIR NUNES ELIAS Presidente Vereador IGOR NUNES CORREA TERMO DE COMPROMISSO E POSSE Aos dois (02) dias do mês de janeiro do ano de dois mil e vinte e cinco, às 10:00 hrs, compareceu o <<Suplente de Vereador>>, o Senhor JULIO CESAR SILVA SANTOS – "
"regra_apertada_v1","20_alta_20_media","36","M2008_54011_13_33333_63710","2011-03-23","media","renuncia","nome_completo_no_trecho","JORGE FERREIRA CRUZ FILHO",0,"renuncia_de_terceiro_nome_em_lista","Jorge Ferreira Cruz Filho, José Severino Rosa, Lourival dos Santos, Luiz Humberto Dutra, Marcelo Machado Borges e Samuel Pereira. TERMO DE POSSE. No 7º dia do mês de fevereiro de 2011 no Plenário da Câmara Municipal de Uberaba, em face de pedido de <<renúncia>> ao mandato, requerido pelo Vereador An"
"regra_apertada_v1","20_alta_20_media","37","M2020_33260_11_11_50000869430","2024-06-17","media","renuncia","nome_completo_no_trecho","RENATO BRANDÃO DE OLIVEIRA",0,"renuncia_de_receita"," - Nota Explicativa: MUNICÍPIO DE ANDORINHA - BAHIA LEI DE DIRETRIZES ORÇAMENTÁRIAS ANEXO DE METAS FISCAIS ESTIMATIVA E COMPENSAÇÃO DA <<RENÚNCIA>> DE RECEITA 2025 SETORES/ PROGRAMAS/ BENEFICIÁRIO TOTAL FONTE: Consultoria Tributária Renato Brandão de Oliveira Prefeito Municipal TRIBUTOS MODALIDADE <"
"regra_apertada_v1","20_alta_20_media","38","M2020_89575_11_40_210000686551","2024-03-25","media","renuncia","nome_completo_no_trecho","GILSON ADRIANO BECKER",0,"assinatura_renuncia_de_candidato_ao_contrato"," setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 25 de março de 2024. GILSON ADRIA"
"regra_apertada_v1","20_alta_20_media","39","M2024_89575_11_40_210001970800","2025-10-03","media","renuncia","nome_completo_no_trecho","GILSON ADRIANO BECKER",0,"assinatura_renuncia_de_candidato_ao_contrato","deve se apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 03 de outubr"
"regra_apertada_v1","20_alta_20_media","40","M2024_71137_13_44444_250002350619","2025-07-14","media","suplente_efetivado","nome_completo_no_trecho","WILLIAM DA SILVA ALBUQUERQUE",0,"posse_de_suplente_nome_e_terceiro_ou_o_proprio_suplente","peremptória do prazo estabelecido no art. 5º, VII, do Decreto-Lei nº 201/1967. São Roque, 14 de julho de 2025. WILLIAM DA SILVA ALBUQUERQUE Presidente da Comissão Processante EDITAL N.º 48/2025 - L EDITAL Nº 48/2025-L Convocação de <<Suplente de Vereador>> JULIO ANTONIO MARIANO, Presidente da Câmara"
